

Технологии обработки информации, (Лек), Поярков А.В., 319/1к

Математическая логика и теория алгоритмов, (Лек), Яшин А.Д., 307/1к

Физика, (Лек), Жданова Л.И., 319/1к

Компьютерная графика, (Лаб), Мышкина Е.И., 321/6к




Технологии обработки информации, (Лаб), Поярков А.В., 317/6к
Математическая логика и теория алгоритмов, (Прак), Пупышев В.В., 504/6к
Безопасность жизнедеятельности, (Прак), Римшина А.А., 410а/6к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.

Базы данных, (Лаб), Аббаси М., 321/6к
Иностранный язык, (Прак), Радикова Т.И., 218/4к





Дифференциальные и разностные уравнения, (Прак), Новикова Е.В., 421/6к
Философия, (Лек), Шадрин А.А., 307/1к


Философия, (Прак), Шадрин А.А., 504/6к


Дифференциальные и разностные уравнения, (Лек), Новикова Е.В., 307/1к

Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.

Безопасность жизнедеятельности, (Лек), Римшина А.А., 307/1к
Базы данных, (Лек), Анисимов А.Е., 307/1к
Физика, (Лаб), Дурман Е.А., 102/4к

Цифровая экономика и финансовая грамотность, (Лек), Тимирханова Л.М., 229/1к

Системное программирование, (Лаб), Трусов А.С., 317/6к
Компьютерная графика, (Лек), Клочков М.А., 307/1к
Дифференциальные и разностные уравнения, (Прак), Новикова Е.В., 421/6к
Стратегии личностно-профессионального развития, (Лек), Троянская А.И., 307/1к
Физика, (Прак), Дурман Е.А., 421/6к
Цифровая экономика и финансовая грамотность, (Прак), Тимирханова Л.М., 421/6к

Стратегии личностно-профессионального развития, (Прак), Троянская А.И., 234/4к



Иностранный язык, (Прак), Радикова Т.И., 410а/6к
Системное программирование, (Лаб), Трусов А.С., 317/6к

Модели и методы разработки программного обеспечения II, (Лаб), 
Модели и методы разработки программного обеспечения II, (Лек), 

