
Дифференциальные и разностные уравнения, (Прак), Новикова Е.В., 410а/6к
Математическая логика и теория алгоритмов, (Лек), Яшин А.Д., 307/1к
Физика, (Лек), Жданова Л.И., 319/1к
Иностранный язык, (Прак), Радикова Т.И., 410а/6к

Цифровая экономика и финансовая грамотность, (Прак), Тимирханова Л.М., 311/6к
Математическая логика и теория алгоритмов, (Прак), Пупышев В.В., 504/6к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.
Базы данных, (Лаб), Аббаси М., 321/6к


Безопасность жизнедеятельности, (Прак), Римшина А.А., 504/6к
Философия, (Лек), Шадрин А.А., 307/1к
Философия, (Прак), Шадрин А.А., 504/6к
Практикум по программированию, (Лаб), Логов А.Г., 311/6к
Дифференциальные и разностные уравнения, (Лек), Новикова Е.В., 307/1к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.
Безопасность жизнедеятельности, (Лек), Римшина А.А., 307/1к
Физика, (Прак), Жданова Л.И., 421/6к
Цифровая экономика и финансовая грамотность, (Лек), Тимирханова Л.М., 229/1к
Компьютерная графика, (Лаб), Мышкина Е.И., 311/6к
Стратегии личностно-профессионального развития, (Лек), Троянская А.И., 307/1к




Стратегии личностно-профессионального развития, (Прак), Троянская А.И.
Модели и методы разработки программного обеспечения II, (Лаб), 

