
Технологии обработки информации, (Лек), Поярков А.В., 319/1к
Математическая логика и теория алгоритмов, (Лек), Яшин А.Д., 307/1к
Физика, (Лек), Жданова Л.И., 319/1к
Физика, (Лаб), Дурман Е.А., 102/4к
Цифровая экономика и финансовая грамотность, (Прак), Борнякова Е.В., 405/4к
Технологии обработки информации, (Лаб), Поярков А.В., 317/6к
Дифференциальные и разностные уравнения, (Прак), Новикова Е.В., 421/6к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.

Безопасность жизнедеятельности, (Прак), Римшина А.А., 234/4к
Философия, (Прак), Шадрин А.А., 504/6к
Компьютерная графика, (Лаб), Мышкина Е.И., 321/6к
Философия, (Лек), Шадрин А.А., 307/1к


Дифференциальные и разностные уравнения, (Лек), Новикова Е.В., 307/1к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.
Безопасность жизнедеятельности, (Лек), Римшина А.А., 307/1к
Модели и методы разработки программного обеспечения II, (Лаб), 
Цифровая экономика и финансовая грамотность, (Лек), Борнякова Е.В., 229/1к
Физика, (Прак), Дурман Е.А., 410а/6к

Стратегии личностно-профессионального развития, (Прак), Троянская А.И., 234/4к

Иностранный язык, (Прак), Майорова М.А., 218/4к
Иностранный язык, (Прак), Майорова М.А., 218/4к
Управление IT-сервисом предприятия, (Лек), Трусов А.С., 321/6к
Системное программирование, (Лаб), Трусов А.С., 321/6к

