
Технологии обработки информации, (Лек), Поярков А.В., 319/1к
Математическая логика и теория алгоритмов, (Лек), Яшин А.Д., 307/1к
Физика, (Лек), Жданова Л.И., 319/1к
Компьютерная графика, (Лаб), Мышкина Е.И., 321/6к


Математическая логика и теория алгоритмов, (Прак), Пупышев В.В., 504/6к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.
Базы данных, (Лаб), Аббаси М., 321/6к



Философия, (Лек), Шадрин А.А., 307/1к


Дифференциальные и разностные уравнения, (Лек), Новикова Е.В., 307/1к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.
Безопасность жизнедеятельности, (Лек), Римшина А.А., 307/1к
Физика, (Лаб), Дурман Е.А., 102/4к
Цифровая экономика и финансовая грамотность, (Лек), Тимирханова Л.М., 229/1к
Системное программирование, (Лаб), Трусов А.С., 317/6к
Дифференциальные и разностные уравнения, (Прак), Новикова Е.В., 421/6к
Физика, (Прак), Дурман Е.А., 421/6к



Системное программирование, (Лаб), Трусов А.С., 317/6к
Модели и методы разработки программного обеспечения II, (Лаб), 

