
Технологии обработки информации, (Лек), Поярков А.В., 319/1к
Математическая логика и теория алгоритмов, (Лек), Яшин А.Д., 307/1к
Физика, (Лек), Жданова Л.И., 319/1к
Иностранный язык, (Прак), Иванов А.В., 218/4к
Цифровая экономика и финансовая грамотность, (Прак), Борнякова Е.В., 405/4к
Дифференциальные и разностные уравнения, (Прак), Родионова А.Г., 234/4к
Компьютерная графика, (Лаб), Мышкина Е.И., 321/6к
Физическая культура и спорт (элективные дисциплины), (Прак), Братчикова И.В.

Практикум по программированию, (Лек), Анисимов А.Е., 317/6к
Практикум по программированию, (Лаб), Анисимов А.Е., 317/6к
Философия, (Прак), Шадрин А.А., 421/6к
Философия, (Лек), Шадрин А.А., 307/1к


Дифференциальные и разностные уравнения, (Лек), Новикова Е.В., 307/1к
Физическая культура и спорт (элективные дисциплины), (Лек), Братчикова И.В.
Безопасность жизнедеятельности, (Лек), Римшина А.А., 307/1к
Иностранный язык, (Прак), Иванов А.В., 412/6к

Физика, (Лаб), Милютин И.В., 102/4к
Стратегии личностно-профессионального развития, (Прак), Троянская А.И., 234/4к




Модели и методы разработки программного обеспечения II, (Лаб), 


